Career,Required Skills
Quality Assurance,Quality Assurance|GMP|Documentation|QMS|SOP Documentation|Regulatory Compliance
Regulatory Affairs,Regulatory Affairs|GMP|Documentation|QMS|Regulatory Compliance
Pharmacovigilance,Pharmacovigilance|Documentation|Analytical Thinking|Microsoft Office
Quality Control,Quality Control|Microbiology|GMP|MSDS|Documentation
Clinical Research,Clinical Research|Documentation|Pharmacovigilance|Analytical Thinking
Formulation Scientist,Formulation|Drug Delivery|Stability Testing|Quality Evaluation
Production Pharmacist,GMP|Documentation|Quality Control|Good Manufacturing Practices
Data Analyst,Python|SQL|Excel|Power BI|Data Analysis
Machine Learning Engineer,Python|Machine Learning|Scikit-learn|TensorFlow|NumPy
Data Scientist,Python|Machine Learning|Statistics|Pandas|NumPy
Web Developer,HTML|CSS|JavaScript|React|Git
Software Developer,Python|Java|C++|SQL|Git
